"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-01","52","39","50"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-02","58","47","47"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-03","47","31","34"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-04","58","30","51"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-05","63","32","56"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-06","56","24","24"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-07","36","5","30"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-08","43","15","40"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-09","50","31","46"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-10","46","34","40"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-11","48","12","44"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-12","48","35","45"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-13","47","39","44"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-14","44","33","36"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-15","48","29","46"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-16","48","25","44"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-17","64","44","59"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-18","68","42","59"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-19","71","44","66"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-20","66","28","33"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-21","36","13","31"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-22","46","16","45"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-01-23","49","30","44"
